Animal,DominanceCategory,Phenotype,Pair,DateTime,Session,Focal,Duration,Count,Month,MonthlyFruitBiomass,FruitBiomassCategory,TaxonNEW
MA,high,T,2,7/25/2019,25,168,5232,3,7,11.77498434,Low,EFI
MA,high,T,2,7/25/2019,25,168,5232,1,7,11.77498434,Low,ANTS
MA,high,T,2,7/25/2019,25,168,5232,10,7,11.77498434,Low,CATA
MA,high,T,2,7/25/2019,25,168,5232,3,7,11.77498434,Low,FIN
MA,high,T,2,8/19/2019,37,188,6267,61,8,14.46787252,Low,ANTS
MA,high,T,2,8/19/2019,37,188,6267,48,8,14.46787252,Low,EFI
MA,high,T,2,8/19/2019,37,188,6267,5,8,14.46787252,Low,MTIN
MA,high,T,2,8/19/2019,37,188,6267,41,8,14.46787252,Low,PPLA
MA,high,T,2,8/19/2019,37,188,6267,3,8,14.46787252,Low,FIN
MA,high,T,2,9/16/2019,49,282,5174,46,9,70.57240697,High,ANTS
MA,high,T,2,9/16/2019,49,282,5174,1,9,70.57240697,High,CATA
MA,high,T,2,9/16/2019,49,282,5174,21,9,70.57240697,High,EFI
MA,high,T,2,9/16/2019,49,282,5174,27,9,70.57240697,High,GMAC
MA,high,T,2,9/16/2019,49,282,5174,4,9,70.57240697,High,SOBO
MA,high,T,2,9/16/2019,49,282,5174,24,9,70.57240697,High,ANTS
MA,high,T,2,9/16/2019,49,282,5174,4,9,70.57240697,High,FIN
MA,high,T,2,10/7/2019,61,230,7600,33,10,29.0961191,High,EFI
MA,high,T,2,10/7/2019,61,230,7600,272,10,29.0961191,High,FCOT
MA,high,T,2,10/7/2019,61,230,7600,1,10,29.0961191,High,FIN
MA,high,T,2,11/1/2019,75,257,7633,290,11,48.12151099,High,ANTS
MA,high,T,2,11/1/2019,75,257,7633,2,11,48.12151099,High,CATA
MA,high,T,2,11/1/2019,75,257,7633,443,11,48.12151099,High,EFI
MA,high,T,2,11/1/2019,75,257,7633,74,11,48.12151099,High,CVER
MA,high,T,2,11/1/2019,75,257,7633,3,11,48.12151099,High,CATA
MA,high,T,2,11/1/2019,75,257,7633,4,11,48.12151099,High,FIN
FT,mid,T,1,6/18/2019,5,124,6087,10,6,8.760734086,Low,ANTS
FT,mid,T,1,6/18/2019,5,124,6087,3,6,8.760734086,Low,EFI
FT,mid,T,1,6/18/2019,5,124,6087,101,6,8.760734086,Low,GAME
FT,mid,T,1,6/18/2019,5,124,6087,30,6,8.760734086,Low,CATA
FT,mid,T,1,6/18/2019,5,124,6087,25,6,8.760734086,Low,FIN
